fname,text,score
134501Y1_000472111.docx,i think the author wants us to know that life in sauri was a hard life but they had to work it through until they changed it with the millennum village project. the suari had a hard life they were poor did not have enough school supplies for school. there farmers could not afford fertilizer for crops. the hospitals did not have a doctor they only had a clinical officer. sauri has changed in 2009 they had enough school supplies. the school had no fee so school was free and bed nets were in every sleeping site in sauri. the author was very happy that suari changed when she grows up she wants to make history with this.,2
1062_020034431.docx,"yes, it will improve better if they work together, it will also improve by winning the fight against poverty. fighting could stop because they will change and life time will be better for the kids. it will also improve by more schools, supplies, housed, and a cleaner country.",1
118691Y2_000466752.docx,"i believe that the author did infact convince me that “winning the fight against poverty is achievable in our lifetime.” i believe so because the author said that “wikh the help of the millennium villages project, the place would change dramatically in the coming of years. “also. “the plans is to get people out of poverty, assure them access to health care and help them stabilize the economy and quality of life in their communities. “also, “the goals were suppose to be met by 2015; some other targets are set for 2025. we are halfway to 2015, and the world is capable of meeting these goals. but our first glimpse of sauri showed us that there was plenty of work to do.” after i read this i thought that maybe the millennium villages is not ready to take on such a big project. i thought maybe this is to much to handel and they will not get this project by there assumed due date. i thought this because in kenya more than 20,000 kids die from malaria. and that families in sauri lived on less than $1 dollar a day. and also, many people are sick and go to the hospital but they don’t get treated they just share a bed with other sick people. and the hospital doesn’t even have any running water or electricity! if that is so then how can they see if they want to treat people. and when the author was in the hospital she said it was hard to see, and it made her scared and sad. and if i were her i would be scared and sad at the same time too. but then i read this it was 2004. but then i read this “the people of sauri have made amazing progress in just four years.” also “the yala sub-district hospital has medicine, free of charge, for all of the most common diseases. water is connected to the hospital, which also has a generator for electricity. bed nets are used in every sleeping site in sauri. ater i read this i believed that yes “winning the fight against poverty is achievable in our life-time.”",2
1251_020009313.docx,"i dont think we cant beat poverty. the resons i think thats true is because someone will always be poor, cant buy what they need, and wont be able to get food. 
i stand by the fact that there will always be poor people. money is never shared fully. there is poverty all over the world and its gonna take a while before its gone.
many people cant buy what they need. food, water, medicine, and more is always going to be at least a little sparce. expecialy in places like africa. they got supplies from planes and traders.
	
many cant get food. in africa, people can hardly farm because of no water or fertilizer. water is esencial to growing food. fertilizer make sure your plants and really weak. i’ve talked about how poverty is not beaten.",2
1292_020026193.docx,"the author did convince me that winning the fight against poverty is achivable in our lifetime. because they had a hospital with no doctors and the rooms were full and some people would not get the treatment or they could not afford it.
also another example is that they didint have enough food, fertilizer, medicine, and school supplies.
the last example is that they didint have running water or electricity
but then in 2008 they had medicine, free of charge, and there were no school feeds so i think that “winning the fight againts poverty is achivable in our life time”.",2
128601Y2_000474743.docx,"yes the author did convince me that winning the fight is in our lifetime. i say this because he say were capable of meeting these goal some examples are the goals are supposed to meet by 2015, were half way to 2015 & we are capable of making these goals, but its plenty of work to do. i infer that we will get to our goals a difference between 2004 & 2008 is in 2004 they didn’t have water, electricity, ect. but in 2008 they have things like that & there working fine. it convinced be because they worked to get what they needed & they got cause in 04 they worked to get what they needed & 08 they had it.",2
1331_020020875.docx,"the author did convince me that “winning the fight against poverty is achievable in our lifetime.”  we would just need a lot of people helping us help people that need to get out of proverty.
one examples from the story is that we could give them certain items that they need for their life.  we could give them supplies, food, evertything possible that we could give them.
my second example is to improve econemy from the story.  we first need to help out farmers and schools.  so farmers can sell food to people so they can eat and the farmers will get money at the same time.  we nee to help schools because that is where kids learn and kids are lie the future of the word.  the next generation.  they could come out with a lot of ideas with a lot of knowledge from schools.
my third example isn’t really from the article but i think it should be something they should have mentioned is work.  they should give people more jobs opputunity so they could make more money for there family.
i overall i think it is possible to get people out of proverty.  we just need a lot of people to help them.",2
139691Y3_100318728.docx,yes it has convinced me. because how it said that they were trying to help by 1. giving medicine and school supplies. 2. and how they gave them food by fertilizer. 3. also by giving them supplies they could afford.,2
1201_08917017.docx,"it is achievable they just need more kids to help with the chores. for example, some kids are needed to help with chores, such as fetching water and wood. another example is the need the net for the mosquitoes instead of paying $5.00 some people can’t afford it and they die from it. they also need water to plant crops for them to eat or else they have no energy. the 3rd example is the students wanted to learn but didn’t have enough school supplies. the last example is when they work together they will get what they need.",1
133501Y3_000513639.docx,"the author did make a good convince that winning the fight against poverty is achievable in our lifetime because if you try these is a chocie that you could have a chocie at helping the people in kenya out of poverty. the millennium villages project was supposed to help accomplish to get people out of poverty and get them to health care and help them stabilize the economy. a better place for people to live and their timeline is set by 2015 and other's are by 2025. everyone in sauri doesn't have a bed net because some people are to deep in poverty to get it, the millennium village project target schools because if they want more supplies and that makes it better to learn and a better if they had a midday meal. i conclue that by 2015 they will be out of poverty. -",2
102501Y3_000520048.docx,"why we can win
after reading this article made me rezalize that we can stop povertyfor example i found out kids are dieingevery day at least 20,000 kids because they are poor can’t recive medicaine, education, and fertilzer for their survial. also most of them are shelter less did you know poor people can not go in resturants to eat or use the bathroom causing them to use the bathroom out side. one other reason why  i belive that poverty can be stop because are nation humanity can change any thing if you put you mind to it.
why cant we
the reason i say we cant because all the money goverments our  paying to fix things that are mess up because tsumnins hurricanes tornatos all of these disater are making it waste to stop poverty and some people are all ready broke and cant donate anmd some people are petty to donateto help out to make it better for people that need medicne education shelter fertilizer. but if this stuff change we could stop it togather for all hope of humanity.",2
123501Y3_000509418.docx,"it helped kid's and family because they now serve food and places to sleep. they also get free education every day at school. they are now able to take care of ther'e self's and familys.
they now have a hospital with free medicine and the now have water connected to the hopital and a generator for electricity every bed in the hospital has a sleeping net
the hunger wait is over they are now able to serve food and to the student's at school. and by reading this paragraph it made me realize how lucky i am to be able to learn and got free education and eat what i want when i want it.",2
1171_020047572.docx,"the author convinced me that ""winning the fight against poverty is achievable in our lifetime."" i think it is achieveable in our life time, but it can take a long time. the millennium villages project help the life in kenya. it help saved a lot of people. the project help the farmers farm, make the hosipital better, no school fee, and lunch at school.
	the project help people get nets to protect themselves. there is now a generator for electricity in the hosiptal. there is water connected to the hosiptal. the farmers get seeds and fertilizers to help grow the crops. they also get the tools needed for the food supply.",2
102501Y3_000537559.docx,"yes, the author did convince me that the “ winning the fight against poverty is achievable in our lifetime.” the author made me convinced because, in paragraph 9, it says that the hospitals has improved by having medicine, and water connected to it. another reason why i was convinced was because also in paragraph 9, it says  the school now serves lunch for the students. one other reason why the author convinced me was because in paragraph 9 it says bed nets were used in every sleeping site in sauri.
people in sauri called this a better life because it actually was better life. also all of this happened in 2008, so sauri had a poverty lifein 2004, but 4 years later it became better. i also think people in our lifetime can do the same thing because we are unique and talented.  this is why the author convinced me say yes.",2
1351_020022120.docx,"is winning the fight over proverty achievable in our lifetime? some people might say yes and some would say no, but people die from proverty everyday. i think proverty can be beaten in this lifetime even though 50% of the world live on less than $2.50 a day and 115 million out of the 2.26 billion kids in the world don’t attend school.
	for the costs to buy stuff for the people in proverty well us people in the bay area can pay for it. also the stuff they need isn’t really expensive. some people might not want to help, well then just how will they fee if they were the people in proverty and they don’t get help?
	we also helped a village of 200-500 people in just four years, can’t we help more people over this lifetime? some people might also say that helping just one village at a time won’t be fast enough. we don’t have to just help one village at a time if we all chip in we can help out more places at once.
	some people might also say that we don’t have to help. well for one thing that’s selfish. also if we want proverty to be gone we will have to atleast help alittle. 
	if we can all chip in and donate to organizations that help end proverty than proverty will probobly be gone in about 50 years. another way can be to start up your own organization with some people and get donations to help people in need get food, medicine, farming equipment, and school supplies. so if we help in some way we can end proverty before tthe twenty second centry.",1
1432_020010750.docx,"based on the article, i think “winning the fight against poverty is achievable in our lifetime.” it has only been halfway through the goal time and they have already accomplished a lot. the hospitals have gone from being very expensive or out of stock with certain medications to having free medicine for all common diseases. medicine went from being hard to get to being free, and that probably saved hundreds of lives. the hospitals also have water and electricity, and those are luxuries they didn’t have before. the millennium villages project has also helped increase the food supply and technology. farmers didn’t have fertilizer or irrigation, so their crops were always dying. now, they have proper fertilization and irrigation, so they saved their families from starving. children also have proper education. the future generations will have all these things, and continue the process of winning the fight against poverty. they already have food, water, electricity, medication, and an education, so they are basically already out of poverty.",4
112601Y1_000468889.docx,"poverty in kenya
i think she thinks it’s important because it is to know how bad it is and to make the world a better place to live in. also to know that we can help places that need the help. like kenya now. 
	my first reason is that if we were in trouble like they are i would want them to help  me when i need it. she wrote that some people could’nt even learn in their schools. i would want someone’s help if i had no way to learn what i need to know. i mean that’s not good for the world that some people live in a country and cant even get an education there. like she said we should’nt have to pay for school if our country is one of the poorest.
	my second reason is the fact that we need to know about whats been going on in our world. this could have happened to any country we were just lucky not to be the one country. i know kenya is not the only country but we need to take action before it does happen to us. she also said that when she got there it was so astonishing (not her actual word) to see how poor it looked as soon as she got there. unpaved streets, kids without shoes, and torn clothes. that just comes to show you if one group of people can do it what about 1,000 groups of people. we have more than enough people to make the world a better place. they used to have a clinical officar running the hospital now they have a doctor. instead of people having no education now they have and overwhelming size in their classes. they used to have 20,000 die from malaria that is nearly cut in to half that is saving 10,000 lives or more a day. they now have water, and electricity at the hospital. now their are bed nets in every site in sauri. farmers used to only have enough for their family they enough that they can eat and still sell some. kids used to have no energy they now have school lunches. it is really inspiring to know that if one 12 year old made a difference what about a 30 year old, or older they could do so much more with their abilities widend. i think it is good for us to now before it happens to us then after.",3
1122_020031451.docx,"hannah sachs really convinced me that the fight against poverty is achievable in life. some examples of why i think so, is because in text, hannah said “with the help of the millenium villages project, the place would change dramatically in the coming years.” which make belive that she was really passionate for this organization. another example is when she says “the people of sauri have made amazing progress in just four years”. this tells me that hannah is really proud of what they’ve achieved. the last example i have is in all of the paragraph, “a better life,” hannah is so good in explaining why she believe in the organization so much and also why she is amazed by the progress thats happened over the years.",1
115501Y3_000515012.docx,"yes, the author did convince me that winning the war against poverty is achievable because with the example of sauri, sauri’s progress ahs really improved.  hospitals are now runned with water and electricity, free of charge. bed nets are now in every sleeping area. farms now have seeds and fertilizer as well as the tools to maintain them schools are free to enter and schools now serve a midday meal. sauri proved to us that winning the fight against poverty is possible.",2
134501Y1_000458684.docx,"i think the author thinks its important for kids to know and learn about how life was like in kenya because kenya was a place where it was poor kids could’nt go to school, there was no running water or electricity and 20,000 kids would die from a disease. but now kids can go to school and learn, the hospitals are now better and can help cure diseases and bed nets are now used in every sleeping site in sauri.",2
1361_020062081.docx,"i am a little convince by the author, because first of all there is more than 80 villages out there, and the m.v.p (short for millennium villages project) can't just help everyone, because it is not the whole world doing it, and there is more villages that the people in m.v.p, but if people going easy on it and got more people to joing, then the m.v.p may have a chance.
	the second reason is that the m.v.p amy not have that much money, saving one village take a whole ton of money, but 80 villages? but everything have a solution and that is donation, or if the founder of the m.v.p is rich then that is another way to deal with the poverty of the villages.
	the last and third reason is that people might be lazy or some other villages have a much bigger problem and maybe it will take longer than a person's lietime to finish helping one village. but people can always be not lazy and help out, and maybe when a member of the m.v.p gets old and a new one comes in. for the last thing is that maybe the m.v.p won't last forever",1
152501Y3_000538696.docx,"i think that the author did convince me that winning the fight against poverty is achievable in our life time because, in just 4 years sauri africa made changes and had more food and water than they did in 2004. also the author convinced me because she said that their plan is to get them out of poverty and to take care of them and give them a better economy and equality of life in their communities, and that villagers got technical advice and practical items like, school supplies, fertilizer and medicine, and even though it would take some time, the goals would still be met and would make sauri a better place. another reason is because malaria is an disease in africa that mosquitoes carry and to treat the desease, you can buy a bed net that would treat malaria for five years but it cost $5.00, and many people did not have that much money, so now, bed nets are allways used with no charge at all and the people can be treated for five years. the author also convinced me because the children could not go to school because it cost money, but now the teacher gets paid and it cost no money at all for the children. my personal  opinion is that we could help sauri by making more clothing for them and to give them more money and more food and i think that that would help sauri africa.",2
121502Y2_100225905.docx,"yes because the 1st part it is titled a brighter future, so that gives me an idea or something will happen. in the last paragraph a better life it talks about how in kenya people now can get cures of a disease and children can eat at school. and there are now doctors in hospitals. there are more than two beds. kids can have clean cloths and not torned cloths. people can feed there familys. people grow more crops like corn. wheat, and cotton. there is a chance of stoping poverty by 2015 or 2025. in 2008 they was able to eat at sleep. less people will suffer from malaria, and other diaseases, because they now have medicine to cure diseases. people can own stores to sale stuff. in the 2nd part the fought hard to stop poverty.",2
121502Y2_000518699.docx,yes the author did convince me that winning the fight aginst poverty is achievable because in africa people don’t have a lot of money. in paragraph 1 it states that we passed the market where women on the dusty ground selling bennaas. little kid’s were wrapped in cloth on their back or running around in bare feet and wearing tattered clothes. people in kenya have less than people in maryland. kenya has children that have tattered clothes and have to walk bare foot. the author convinced me that the fight ainst poverty is also a go idea because people in kenya don’t have much fertilizer on paragraph 3 it says with little water and no fertilizer most of their crops gone dry. farmers worry if their children will go hungry.,1
1302_020070730.docx,it will not be an easy task. it took 4 years for then to get it. they want this kind of provety to be a thing in history.,1
109591Y3_000502976.docx,"yes! !, i think that if you believe in yourself it can happen. i think the more you believe in yourself you will start to feel better. people has diseases and they was in hospitals with no electricity, water. i think that if they believe in there self they can achieve there goal in life. infer that you can have family bring you gifts so they can encourage you. i also think yes because even if your not rich you can still believing yourself, i think you can be whatever you want to believe in yourself. in if those kids need to believe in there selves.",1
151601Y3_100322701.docx,"yes because basicly the author was saying that if you just set your mind to it your can do anything. 
	also he mentioned that they could be defeated only because they’re weak. 
	sauri, kenya is not only a country but it’s a home to a lot of people. 
	but he didn’t mention that that its not that easy nor hard to do that.",1
111591Y2_000518044.docx,yes because people from kenya want a better life time and have generator’s for electricity to power the school. back then the commen disease they have is malaria. malaria comes from the malarial mosquitoes. people needed bed nets because they needer to keep the mosquitoes away from them but it cost $5 and thy couldn’t cure poor soo that’s why they wanted a better life for them.,1
122691Y2_000502017.docx,"yes, proverty is achivevable in our lifetime because the people of sauri made amazing process. now there are no school fees, so many kid's in sauri can go to school. school's now serve's lunch's for the kid's. yala sub-district has medicine for all common diseases for free charge. water is connected to the hospital and they have a great generator so they can have electricity. the hunger crisis has changed by fertilizer and seed's so now people in sauri don't have to worry about starving. now that thing's have changed, kid's can get better education because there are more book's, paper, and pencil's. the kid's of sauri now have a better life's now that thing's have changed in sauri, kenya.",3
112501Y2_000511968.docx,"yes, the author did convince me because with bed nets, thousands of lives can be saved everyday. with bed nets at every sleep site, the amount of people with malaria, can be reduced immensely. this could also reduce the amount of patients in the hospital. this can help patients get better care and more attention. if enough people know about this problem, we could use the most logical solution to solve the problem. 
another example is farming. the crops on a farm will die without fertilizer. by providing fertilizer, you can save lives, provide better food, and more energy. more energy and nutrishious meals, you can have better future. farming can help in a wide range. 
school is another example. not a lot of children went to school because of the fees. a lot of people got less than a dollar a day. with no fees, a lot more children could attend school. without school, the more likely chances are that you won’t get far in life. 
the author convinced me because of the dramatic changes, the saving of lives, and better futures.",4
106691Y2_000503858.docx,"i think that we can win the fight againsts poverty because the technology is better now than the technology in 2004 and we already helped by a lot because we gave them fertilizer so that they won't starve because of lack of food another thing that is different now is that the water is connected to the hospital and that generates electric power. they bought bed nets so, they don't get bitten by a mosquitoe that carries malaria, that will save 20,000 kids every day. the last they changed was the school fees and this helps because they will get an education and they can learn how to deal with problems like this when his or her town is in a crisis. all of these things we helped with can make sure that the village of sauri will stay out of poverty.",4
151601Y3_000508885.docx,"based on the story, it proves that anyone can win against poverty. for example in the first three paragraphs, it talks about the poor families in sauri, kenya. it talked about what sauri looked like. how the families were entertained, and how they dressed. kenya has many families that are poor. 
	the author stated that when she went to sauri, there were unpaved roads and children on their mothers backs. she also said that there was dancing and joyful music. the children were enjoying themselves. sauri was a place where children starved.
	saur, kenya has unpaved roads and very little resources. the children starved themselves daily. the parents of all the children tried very hard to get food. the roofs are very fragile. the families were poor but also had festivities. 
	the families danced on the unpaved roads along sauri. they wore special clothing only on special occasions. they danced with hannah sachs when she visited. they didn't have an education but they did have fun. sauri, kenya has its up's and downs, but it's still a good place to visit.
	sauri, kenya is a place to visit. it may be filled with little resources but you can help. you can give the children food, water, and clothes. it takes one person to start a change. sauri, kenya is a good place to visit.",1
161501Y3_000528908.docx,"the author did not convince me that ""winning the fight against proverty is achievable in our time lime. he said ""the goals are supposed to be met by 2015"" but with all these problems it's impossible. there a bad problems like ""maliria, the crops are dead, disease's, and clean water is scarsie. they also get paid one dollar a day. i deleave they well achieve there goal in 2018. thats why i think the whole world should tip in and support these desasters. i also think it is wrong to sit back and do nothing while other people are in need. if we were in there shoes we would wont help to. these are some other things why the authore does not convince me. they are low on fertillizer, there clothes our tattered and they barley get midical support. this is why the author did not convince me.",2
102501Y2_100023325.docx,"based on the article the author did convince me that winning the fight against poverty is achievable.  while reading this essay you will learn about why i think you can win the fight against poverty.  
	if they saved up money for fertilizer they could find their way out of poverty.  farmers can use fertilizer for their crops and then they wouldn’t have to worry about food and they could sell their crops.  this is one reason i think people can win the fight against poverty.  
	another way people can fight their way against poverty is that they can make a meadicine for malaria that is affordable.  20,000 kids die every day from mosquitos each day from mosquitos.  if they made an affordable meadicine for malaria many people would by it.  this is another reason i think they can fight their way against poverty.",1
113501Y2_000498951.docx,"yes, she did make a convincing arguement. i understood what hannah meant, because fighting against poverty is possible. you just have to work hard and believe in what we are trying to do to make the world a better place for humans and animals. here are some examples that millenium project has done for sauri. 1.) the yala sub-district has medicine, free of charge, for al of the most common diseases. 2.) water is connected to the hospital, which also has a generator for electricity. 3.) bed nets are used in every sleeping site in sauri. 4.) no school fees, they serve lunches, addressed with fertilizer and seeds, as well as tools.
see, now children and adults can live a healthy life. i just think the people who are doing the millenium project should get more supplies for the schools and the people in sauri should at least get paid $6 a week.",2
129501Y2_000520494.docx,yes becuse proverty is achievable with hard work and intellagent’s for the way to fight proverty to get thoug proverty is to be small and work hard.,1
1251_020014219.docx,"i think in our life time overcoming poverty is possible. i hundreds of places all over the world families, villages, and people are living in poverty. if we all work really hard together things should change.
	when the village in kenya improved so much in just 4 years it showed us that we can over come poverty. in 2004 sauri was very poor no medicin, water, fertilizer, or misquito nets. but in 2008 it had all that so in 2012 it would be better and 2016 even better so by the time its 2040 imagine how advanced and good the village will be.
	if wealthy people in well functioning citys all give their time like the author did in the text, it would help alot or even if every family in one school, city, or state gave 1 dollar to help stop poverty it would be alot! it would do wonders for a small, poor, village like sauri.
	there are great organizations like the millennium village project to help 3rd world countries like kenya. so it helps alot if they helped sauri advance in just 4 years and even more organizations did this by 2040 poverty would just be a fact in a history text book. 
	so i do think it is posible to overcome poverty. if we all give back, help, and donate money the world can become a better place and poverty will just be something in the past. i believe it is our job as the next generation to put an end to poverty.",2
127501Y3_100211428.docx,"yes it is achievable because when hannah first went to sauri, kenya it was in proverty, but when the un started a program to help sauri, kenya it had goals. the goals were to get people out of proverty, assure them access to health care, help them stabilize the economy, and improve the quality of life in their communities. these goals are suppost to be met by 2025, and the short-term goals are suppost to  be met by 2015. when hannah went to yala sub-district hospital it was no dotor, no medicine, no water or electricty, and it was 3 kids to disease called malaria that mosquitoes carry and they bite people at night. when hannah went to see the farmers there crops were dying because they had lack of water and fertilizer. kids in sauri did not attend school because their parents could not afford the school fees. in 2004, the schools had minimal supplies. kids still wanted to learn. it was hard concentrating because there was no midday meal. in just 4 years the people of sauri made amazing progress. the yala sub-district hospital has medicine. electricity, water, and bednets to keep away the mosquitoes. bed nets are now used in every sleeping site in sauri. 
the hunger crisis has been addressed with fertilizer and seeds, as well as the tools needed to maintain the food supply. changes occured in 80 villages across sub-saharan africa. sauri's progress shows that winning the fight against poverty is achievable.",3
1241_020022879.docx,yes she did because one of her subtitles were a better life 2008. she also said that the hospital have water and electricity. she also said that going to school has no fee. now all the kids can go to school. the reason why hsopptital can use the water and eletrcity becaus they can wash the wound or ingury and power light for night time work.,2
106591Y2_000509916.docx,"yes the winning of the fight against poverty is achievable. 4 an example people were sick and couldn’t be treated at the hospital. ex2) kids didn’t have any good supplies to use in school and didn’t have in lunch. ex3) people had not have enough money to buy what they need. ex4) and people who had malaria would have mostly died.
but now just in 4 years they have achived their goals like to get better supplies 4 children also the had the right medicine 4 no charge at any rate, also, water was connected to the hospitals and electricity, also bed  nets are helded in everybed there is. so yes it was achievable in our lives and  and in their lives. also they are winning their fights against poverty to change peoples lives.",3
115501Y2_000515551.docx,"yes it can be cone because their organization did it in four years, and their a poor country. our organization could probably do it in 2 or 3 years since we're richer than them. for example hannah visited sauri with her dad when she was twelve and there were no running water or electricity then she left and came back four years later, there were runnig water, generators, crops, and bed nets. another example is that some villages get technical and school supplies. another example is that even though kids had minimal supplies they were still eager to learn. i dont get why people dont just help them it shouldnt have to be a war to live. and because of all of these things that happened its achievable, and possible to defeat the war.",3
123501Y3_000531719.docx,"yes it is achievable because the millenium villages project helped the town of sauri, kenya by giving every sleeping area bed nets. this mean people have a less chance of getting bit by a mosquito. this means less people will die.
children are able to go school there is no school fee which mean children who live in poverty can go to school. the school also provides lunch for the children. now more & more people are going to school.
the hospital is now a more reliable place when you are sick because water is connected the the hospital & they have a generator for electricty. the also have the medicine for common diseases. more peopel are able to go the hospital is because it's free of charge.",3
127501Y3_000540529.docx,"in 2004, people in sauri, kenya didn't have all of the needs they needed, the united nation starts a program to help sauri, kenya out of poverty.
     the goals of the millennium villages project was to get people out of poverty, assure them access to health care, help them stabalize the economy and the quality life in their communities. 
     during those times, women would sit on the ground and sell bananas. children were running around in bare feet. when people get sick, they went to hospitals and the hospitals doesn't have beds, doctors, water and elecricity, and medicine. malaria was also a problem. it killed kids and make adults sick. 
     in farms, farmers didn't have water and fertilizers to grow their crops faster. 
     the author convinced me that winning the fight against poverty is achievable in our lifetime because of what happened in sauri, kenya. 
     in only 4 years, changes began in kenya. 
     not many people got malaria because of the bed nets they have. also, not alot of people die. 
     in hospitals, they recieved hospital beds, medicine, water, doctors, and also electricity. 
     also, farms got fertilizers and water they needed to grow their crops. 
     the help worked and helped many people",4
102601Y2_000495523.docx,"i think that the author did convince me that “winning the fight against poverty is acheiveable in our lifetime.  the reason i think that is because at first in kenya (located in africa) they had a lot of down fall’s like: the mosquitoes that carry malaria and when they bite them they get a disease.  the disease stop’s you from eating and it make’s you de-hydrated and you get really sick.  but they came up with bed net’s since mosquitoes come at night they got an idea which is bed net’s they are treated with chemical’s that can last for five year’s.  20,000 kids die each day from malaria and bed net’s could save millions of live’s.  the farmer’s there could not have successful crop’s because they were dying they did not have any fertilizer to help them stay alive.  there scared that they won’t have any food for the family’s to survive.  but now they have provided fertilizer, seed’s and tool’s for the farmer’s.  the children in school didn’t have many supplie’s.  not many book’s paper or pencil’s even though the children were so eager to learn it was hard to.  also they didn’t have any lunch during the day, but now there are no school fee’s and they serve lunch there.  this is the last exsample: hospital’s don’t have to medicine to save or cure the live’s that needed to survive now the hospital has medicine to cure children and they have no charge they have the medicine for most of the common diseases.  water is connected to the hospital and it has a generator for electricity.  bed net’s are used in every sleeping site in suari.  they had goal’s set for 2015 other set for 2025 they believed that they were going to make a difference in that town and that’s exactly what they did they worked together to change poverty in the area, it wasn’t easy but they did do it, sauri’s progress proved to them that the fight against poverty is acheiveable in our lifetime.  the author convinced me that they could make a difference and save the people in sauri, and they did.",4
112601Y1_000466497.docx,"my opinion on the millenium village projects
before the millennium village project started, kenya was another country blown away by poverty, children in tattered clothing running around barefoot, women on the ground selling bananas, i don’t believe these are healthy things to do. 
	malaria was a big problem. to many children suffered and died from it and many adults got sick. it was tragic to hear about so many people suffering.
	another problem is that the hospitals were overcrowded, there were 3 children to a bed and 2 adults to a bed, some people can’t even get help. there was no running water or electricity so it was dark, and noone could wash. 
	after the millennium villages project was started, they set targets and goals for poverty to be gone, for good. they started making bed nets with chemicals that last 5 years so that almost nobody will get malaria, plus bed nets are five dollars so it is almost affordable to anyone. 
	school has no fees so children could go to school, they have books, pencils, and the supplies they need. they also have midday lunch so the students could eat. the attendance rate is up really high. 
	there have been a lot of changes which makes life better for a lot of villages. there is even electricity and running water in the hospitals now. it just makes it all the more easier to win the fight against poverty.",3
